Date,Open,High,Low,Close,Volume,Market Cap
11/5/18,6363.62,6480.59,6363.62,6419.66,4174800000,1.11456E+11
11/4/18,6365.47,6388.63,6294.57,6376.13,4390020000,1.10689E+11
11/3/18,6387.24,6400.07,6342.37,6361.26,3658640000,1.10421E+11
11/2/18,6378.92,6396.86,6327.38,6388.44,4234870000,1.106E+11
11/1/18,6318.14,6547.14,6311.83,6377.78,3789400000,1.10684E+11
10/31/18,6336.99,6349.16,6316.88,6317.61,4191240000,1.09627E+11
10/30/18,6337.04,6364.99,6310.14,6334.27,3781100000,1.09904E+11
10/29/18,6492.35,6503.6,6306.99,6332.63,4199910000,1.09863E+11
10/28/18,6482.66,6502.28,6447.91,6486.39,3445190000,1.12518E+11
10/27/18,6480.84,6507.41,6453.53,6480.38,3393250000,1.12403E+11
10/26/18,6468.44,6498.29,6449.61,6474.75,3306050000,1.12294E+11
10/25/18,6484.65,6504.65,6447.03,6476.29,3230550000,1.1231E+11
10/24/18,6478.89,6521.99,6468.86,6495.84,3424670000,1.12637E+11
10/23/18,6472.36,6506.01,6451.27,6475.74,3716150000,1.1228E+11
10/22/18,6486.05,6543.8,6462.98,6487.16,3672860000,1.12465E+11
10/21/18,6490.09,6556.38,6476,6482.35,3253610000,1.12369E+11
10/20/18,6460.92,6497.72,6449,6489.19,3379130000,1.12477E+11
10/19/18,6478.07,6493.68,6445.31,6465.41,3578870000,1.12053E+11
10/18/18,6542.33,6567.54,6450.04,6476.71,3924080000,1.12237E+11
10/17/18,6590.52,6601.21,6517.45,6544.43,4088420000,1.13399E+11
10/16/18,6601.41,6673.59,6571.37,6596.11,4074800000,1.14284E+11
10/15/18,6292.64,6965.06,6258.68,6596.54,7370770000,1.1428E+11
10/14/18,6288.49,6363.21,6280.15,6290.93,3085320000,1.08973E+11
10/13/18,6278.08,6308.51,6259.81,6285.99,3064030000,1.08878E+11
10/12/18,6239.25,6328.5,6236.47,6274.58,3783500000,1.0867E+11
10/11/18,6586.74,6586.74,6243.74,6256.24,5181640000,1.08342E+11
10/10/18,6640.29,6640.29,6538.96,6585.53,3787650000,1.14031E+11
10/9/18,6653.08,6661.41,6606.94,6642.64,3580810000,1.15008E+11
10/8/18,6600.19,6675.06,6576.04,6652.23,3979460000,1.15163E+11
10/7/18,6590.68,6641.49,6557.04,6602.95,3306630000,1.14299E+11
10/6/18,6622.45,6628.54,6577.8,6588.31,3259740000,1.14034E+11
10/5/18,6574.15,6623.62,6557.41,6622.48,3671500000,1.14615E+11
10/4/18,6497.91,6603.31,6497.91,6576.69,3838410000,1.13811E+11
10/3/18,6553.86,6571.46,6454.03,6502.59,3887310000,1.12517E+11
10/2/18,6593.24,6611.84,6537.9,6556.1,3979260000,1.13431E+11
10/1/18,6619.85,6653.3,6549.08,6589.62,4000970000,1.14E+11
9/30/18,6604.71,6643.78,6566.54,6625.56,4002280000,1.14609E+11
9/29/18,6643.1,6643.1,6511.65,6601.96,4363690000,1.14187E+11
9/28/18,6678.75,6785.03,6598.32,6644.13,5014430000,1.14904E+11
9/27/18,6495.29,6712.1,6464.95,6676.75,4606810000,1.15455E+11
9/26/18,6452.79,6585.91,6397.89,6495,4437300000,1.123E+11
9/25/18,6603.64,6603.64,6381.86,6446.47,4726180000,1.1145E+11
9/24/18,6704.77,6713.56,6580.9,6595.41,4177310000,1.14011E+11
9/23/18,6715.32,6766.15,6679.42,6710.63,4197500000,1.1599E+11
9/22/18,6735.05,6814.56,6616.8,6721.98,4509660000,1.16174E+11
9/21/18,6513.87,6794.33,6496.36,6734.95,6531940000,1.16385E+11
9/20/18,6398.85,6529.26,6395.95,6519.67,4348110000,1.12653E+11
9/19/18,6371.85,6448.46,6208.34,6398.54,4431340000,1.10548E+11
9/18/18,6280.91,6384.18,6265.71,6371.3,4180090000,1.10065E+11
9/17/18,6514.06,6540.21,6257.52,6281.2,3910780000,1.08497E+11
9/16/18,6536.68,6544.33,6460.1,6517.18,3273730000,1.12562E+11
9/15/18,6509.4,6561.72,6493.55,6543.2,3216300000,1.13E+11
9/14/18,6515.41,6596.1,6456.17,6512.71,4076220000,1.12462E+11
9/13/18,6354.24,6535.41,6354.24,6517.31,4210910000,1.12531E+11
9/12/18,6317.01,6363.87,6265.09,6351.8,4064230000,1.09662E+11
9/11/18,6331.88,6398.92,6260.21,6321.2,3849910000,1.0912E+11
9/10/18,6301.57,6374.98,6292.76,6329.7,3714100000,1.09256E+11
9/9/18,6223.38,6446.26,6201.22,6300.86,3671890000,1.08747E+11
9/8/18,6460.17,6534.25,6197.52,6225.98,3835060000,1.07442E+11
9/7/18,6528.92,6555.29,6396.87,6467.07,4264680000,1.1159E+11
9/6/18,6755.14,6755.14,6404.72,6529.17,5523470000,1.1265E+11
9/5/18,7361.46,7388.43,6792.83,6792.83,5800460000,1.17186E+11
9/4/18,7263,7388.26,7255.44,7361.66,4273640000,1.26987E+11
9/3/18,7279.03,7317.94,7208.15,7260.06,4087760000,1.25223E+11
9/2/18,7189.58,7306.31,7132.16,7272.72,4329540000,1.25428E+11
9/1/18,7044.81,7242.29,7038.05,7193.25,4116050000,1.24045E+11
8/31/18,6973.97,7057.17,6920.16,7037.58,4495650000,1.21347E+11
8/30/18,7043.76,7072.69,6834.69,6978.23,4463250000,1.2031E+11
8/29/18,7091.71,7113.3,6970.82,7047.16,4145880000,1.21485E+11
8/28/18,6891.08,7109.56,6882.34,7096.28,4659940000,1.22319E+11
8/27/18,6710.8,6884.64,6689.71,6884.64,4019000000,1.18658E+11
8/26/18,6754.64,6774.75,6620.75,6707.26,3295500000,1.15585E+11
8/25/18,6719.95,6789.63,6700.96,6763.19,3312600000,1.16534E+11
8/24/18,6551.52,6719.96,6498.64,6719.96,4097820000,1.15778E+11
8/23/18,6371.34,6546.54,6371.34,6534.88,3426180000,1.12577E+11
8/22/18,6486.25,6816.79,6310.11,6376.71,4668110000,1.09841E+11
8/21/18,6301.07,6500.87,6298.24,6488.76,3377180000,1.11758E+11
8/20/18,6500.51,6536.92,6297.93,6308.53,3665100000,1.08642E+11
8/19/18,6422.57,6537.98,6361.55,6506.07,3311170000,1.12032E+11
8/18/18,6583.43,6617.35,6353.73,6423.76,3984520000,1.10603E+11
8/17/18,6340.91,6582.5,6324.97,6580.63,4992990000,1.13291E+11
8/16/18,6294.23,6473.5,6276.41,6334.73,4328420000,1.09045E+11
8/15/18,6221.42,6588.49,6221.42,6308.52,4895450000,1.08582E+11
8/14/18,6287.66,6287.94,5971.05,6199.71,5301700000,1.06696E+11
8/13/18,6341.36,6537.05,6225.72,6297.57,4083980000,1.0837E+11
8/12/18,6283.65,6409.85,6237.5,6322.69,5665250000,1.0879E+11
8/11/18,6185.79,6455.74,6109.03,6295.73,4047850000,1.08314E+11
8/10/18,6571.42,6591.26,6124.52,6184.71,4528680000,1.06391E+11
8/9/18,6305.56,6625.73,6249.07,6568.23,4267040000,1.12974E+11
8/8/18,6746.85,6746.85,6226.22,6305.8,5064430000,1.08448E+11
8/7/18,6958.32,7146.56,6748.24,6753.12,4682800000,1.16128E+11
8/6/18,7062.94,7166.55,6890.54,6951.8,3925900000,1.19532E+11
8/5/18,7031.08,7102.77,6940.7,7068.48,3679110000,1.21526E+11
8/4/18,7438.67,7497.49,6984.07,7032.85,4268390000,1.209E+11
8/3/18,7562.14,7562.14,7328.65,7434.39,4627150000,1.27786E+11
8/2/18,7634.19,7712.77,7523.44,7567.15,4214110000,1.30052E+11
8/1/18,7769.04,7769.04,7504.95,7624.91,4797620000,1.3103E+11
7/31/18,8181.2,8181.53,7696.93,7780.44,5287530000,1.33688E+11
7/30/18,8221.58,8235.5,7917.5,8180.48,5551400000,1.40547E+11
7/29/18,8205.82,8272.26,8141.18,8218.46,4107190016,1.41186E+11
7/28/18,8169.06,8222.85,8110.77,8192.15,3988750080,1.40717E+11
7/27/18,7950.4,8262.66,7839.76,8165.01,5195879936,1.40236E+11
7/26/18,8176.85,8290.33,7878.71,7951.58,4899089920,1.36553E+11
7/25/18,8379.66,8416.87,8086.36,8181.39,5845400064,1.40483E+11
7/24/18,7716.51,8424.27,7705.5,8424.27,7277689856,1.44635E+11
7/23/18,7414.71,7771.5,7409.1,7711.11,5132480000,1.32375E+11
7/22/18,7417.8,7537.95,7383.82,7418.49,3695460096,1.27337E+11
7/21/18,7352.72,7437.64,7262.41,7419.29,3726609920,1.27333E+11
7/20/18,7467.4,7594.67,7323.26,7354.13,4936869888,1.26203E+11
7/19/18,7378.2,7494.46,7295.46,7466.86,5111629824,1.28123E+11
7/18/18,7315.32,7534.99,7280.47,7370.78,6103410176,1.26458E+11
7/17/18,6739.65,7387.24,6684.17,7321.04,5961950208,1.25589E+11
7/16/18,6357.01,6741.75,6357.01,6741.75,4725799936,1.15638E+11
7/15/18,6272.7,6403.46,6256.51,6359.64,3285459968,1.09075E+11
7/14/18,6247.5,6298.19,6212.22,6276.12,2923670016,1.07631E+11
7/13/18,6235.03,6310.55,6192.24,6238.05,3805400064,1.06968E+11
7/12/18,6396.78,6397.1,6136.42,6228.81,3770170112,1.06799E+11
7/11/18,6330.77,6444.96,6330.47,6394.71,3644859904,1.09632E+11
7/10/18,6739.21,6767.74,6320.72,6329.95,4052430080,1.08511E+11
7/9/18,6775.08,6838.68,6724.34,6741.75,3718129920,1.15558E+11
7/8/18,6857.8,6885.91,6747.98,6773.88,3386210048,1.16097E+11
7/7/18,6668.71,6863.99,6579.24,6856.93,3961080064,1.17507E+11
7/6/18,6638.69,6700.94,6533.55,6673.5,4313959936,1.14351E+11
7/5/18,6599.71,6749.54,6546.65,6639.14,4999240192,1.13748E+11
