Date,Open,High,Low,Close,Volume,Market Cap
11/5/18,207.1,210.82,206.57,209.09,1613510000,21540893856
11/4/18,200.16,211.27,198.99,207.49,1749300000,21371828848
11/3/18,200.74,200.74,199.53,200.19,1307150000,20615851076
11/2/18,198.98,201.27,198.75,200.63,1451870000,20482679355
11/1/18,197.54,203.75,197.33,198.87,1336700000,20471899882
10/31/18,197.65,198.34,196.53,197.38,1442380000,20314525207
10/30/18,197.2,198.12,196.35,197.56,1363500000,20328991627
10/29/18,205.17,205.6,195.73,197.25,1517230000,20293119917
10/28/18,204.51,205.92,203.52,205.37,1139140000,21124318787
10/27/18,203.36,206.08,203.13,204.21,1084810000,21000852986
10/26/18,202.34,204.78,201.55,203.33,1161310000,20906233654
10/25/18,203.87,204.13,201.82,202.72,1102900000,20839361864
10/24/18,204.13,205.58,203.35,203.85,1102220000,20951397461
10/23/18,204.02,205.15,201.91,204.34,1237490000,20997592900
10/22/18,205.17,206.93,203.38,204.04,1328980000,20962566341
10/21/18,205.39,208.16,204.62,205.14,1190300000,21071425351
10/20/18,203.51,206.22,203.09,205.43,1238780000,21097037288
10/19/18,203.26,204.66,201.84,203.73,1264480000,20918281422
10/18/18,207.4,208.47,201.74,203.35,1365860000,20875136033
10/17/18,210.22,211.13,205.93,207.08,1444130000,21253809828
10/16/18,209.63,212.17,207.98,210.12,1532280000,21561538445
10/15/18,195.27,222.12,194.16,209.7,2865830000,21514164081
10/14/18,199.69,201.83,195.24,195.72,1169260000,20074884133
10/13/18,196.36,201.28,196.36,199.84,1167610000,20494427219
10/12/18,188.71,199.4,188.71,196.73,1487900000,20171465375
10/11/18,225.61,225.61,189.28,189.5,2167620000,19426284231
10/10/18,227.62,227.71,224.5,225.77,1384040000,23139815562
10/9/18,229.71,230.16,226.4,227.98,1405130000,23361686457
10/8/18,226.51,230.76,224.56,229.25,1470740000,23488185260
10/7/18,225.44,226.37,223,226.12,1470480000,23161870406
10/6/18,227.55,227.93,224.25,225.12,1505070000,23054817090
10/5/18,222.27,228.32,220.96,227.6,1547330000,23304132210
10/4/18,220.45,226.15,220.09,222.22,1479500000,22748785601
10/3/18,226.41,226.46,213.97,220.49,1683930000,22567191435
10/2/18,231.1,231.17,225.84,227.18,1542080000,23247301143
10/1/18,233.22,234.15,226.94,230.77,1597500000,23609932636
9/30/18,231.33,236.99,228.44,232.85,1765560000,23818010080
9/29/18,221.71,234.01,216.08,231.63,2208720000,23688472554
9/28/18,229.04,231.75,218.67,222.4,2018120000,22740029072
9/27/18,215.44,230.61,212.65,228.49,2030320000,23358055828
9/26/18,218.65,221.44,209.11,215.85,1756100000,22061470925
9/25/18,228.33,228.33,206.49,218.5,2120360000,22328838918
9/24/18,244.84,245.11,227.49,228.73,1748740000,23368514476
9/23/18,240.99,247.46,237.86,244.33,1693470000,24957339671
9/22/18,247.34,251.2,233.81,240.48,1921820000,24559189740
9/21/18,225.25,248.39,221.57,246.58,2836200000,25177153569
9/20/18,210.29,224.82,207.79,224.59,1782070000,22927198724
9/19/18,209.47,213.87,201.66,209.97,1733330000,21430425395
9/18/18,197.09,213.36,195.93,209.97,1800640000,21427138528
9/17/18,221.58,224.26,195.31,197.88,2019910000,20188412622
9/16/18,222.8,222.8,211.12,220.59,1502260000,22500850649
9/15/18,209.81,226.6,209.61,223.07,1670490000,22749239391
9/14/18,212.67,222.79,204.87,211.75,2232190000,21590468958
9/13/18,183.68,214,183.68,211.35,2330720000,21545368070
9/12/18,185.42,185.59,170.26,183.33,1874850000,18685217457
9/11/18,198.18,198.51,180.6,185.07,1568900000,18858789569
9/10/18,197.85,201.88,189.58,197.08,1502960000,20078625863
9/9/18,198.38,207.67,188.31,196.92,1585980000,20058301360
9/8/18,217.91,220.37,193.26,197.95,1517200000,20159208124
9/7/18,229.53,233.9,217.07,217.2,1678260000,22115217446
9/6/18,231.65,231.75,218.12,230.22,2097310000,23435242846
9/5/18,286.05,288.16,232.33,232.33,2390390000,23646269998
9/4/18,289.3,291.58,284.25,285.72,1554870000,29074437826
9/3/18,295.18,295.59,287.43,289.26,1394490000,29428718639
9/2/18,295.45,298.69,290.93,294.37,1321050000,29942616509
9/1/18,283.5,301.14,283.5,295.34,1546630000,30035225714
8/31/18,284.12,284.55,278.51,283,1411910000,28774515801
8/30/18,289.75,291.24,275.21,284.11,1513100000,28881566430
8/29/18,296.16,297.07,287.29,289.31,1474460000,29404256454
8/28/18,286.65,297.4,283.57,296.5,1513350000,30129004553
8/27/18,275.35,285.6,273.65,285.6,1406790000,29015570162
8/26/18,279.52,279.52,272.44,275.2,1206650000,27953333721
8/25/18,283.28,283.51,278.47,279.65,1208360000,28399619141
8/24/18,278.11,283.3,273.86,282.97,1450170000,28731009952
8/23/18,271.75,279.55,271.09,277.1,1271160000,28129256612
8/22/18,281.97,297.49,265,271.34,1507660000,27539018185
8/21/18,273.33,285.97,273.33,281.94,1164120000,28609125434
8/20/18,301.38,304.37,273.51,274.31,1413790000,27830282489
8/19/18,295.67,307.1,291.33,300.83,1447910000,30513620047
8/18/18,316.79,320.45,286.55,295.81,1764020000,29998382029
8/17/18,287.68,316.17,287.35,315.73,1995460000,32012022672
8/16/18,282.74,298.48,280.93,288.05,1552970000,29199634126
8/15/18,280.39,303.59,280.12,282.36,1878150000,28617067717
8/14/18,286.37,286.37,254.65,278.93,2137850000,28263766472
8/13/18,320.21,323.55,284.93,286.5,1751190000,29023983959
8/12/18,320.82,328.59,318.6,319.57,1625420000,32368768332
8/11/18,334.26,334.26,308.49,322.11,1790370000,32619478884
8/10/18,365.78,367.05,329.59,334.18,1699400000,33834890081
8/9/18,356.97,370.95,353.61,365.59,1616610000,37007593484
8/8/18,379.89,380.67,353.73,356.61,2016080000,36091263181
8/7/18,406.8,411.4,376.08,380.21,1828350000,38471914304
8/6/18,410.57,414.54,403.31,406.66,1384880000,41139992795
8/5/18,407.35,413.72,402.43,410.52,1396820000,41522119692
8/4/18,418.24,420.19,403.78,407.25,1466540000,41183013444
8/3/18,412.57,420.55,399.91,418.26,1722340000,42287775770
8/2/18,420.81,425.03,410.31,412.62,1569300000,41709082526
8/1/18,433.87,435.46,410.46,420.75,1888060000,42522240407
7/31/18,457.25,457.25,430.44,433.87,1820680000,43839337364
7/30/18,466.83,467.95,448.64,457.08,2141590000,46175116407
7/29/18,466.92,470.36,462.71,466.67,1631910016,47134386674
7/28/18,469.68,471.59,462.99,466.9,1531890048,47148055849
7/27/18,464.01,473.22,458.29,469.67,1734259968,47418159220
7/26/18,472.33,483.7,461.42,464.04,1621560064,46840235011
7/25/18,479.91,482.87,466.47,472.49,1930780032,47683528117
7/24/18,451.14,481.14,450.57,479.37,2287520000,48367907222
7/23/18,459.44,469.77,449.73,450.85,1596999936,45480998854
7/22/18,462.44,470.9,458.12,459.66,1338589952,46360332330
7/21/18,450.68,468.08,445.78,462.44,1504310016,46631124090
7/20/18,469.31,469.31,443.69,450.7,1821350016,45438021154
7/19/18,480.63,483.24,465.14,469.62,2068739968,47336000761
7/18/18,500.84,513.43,474.36,480.51,2371559936,48423853296
7/17/18,480.08,508.78,468.92,501,2288100096,50478564773
7/16/18,450.42,480.66,446.8,480.66,1858680064,48419227993
7/15/18,435.88,454,433.92,449.85,1350160000,45306414379
7/14/18,434.51,439.43,431.47,436.09,1235820032,43911596336
7/13/18,430.74,442.36,430.74,434.03,1489670016,43695290789
7/12/18,446.5,446.5,422.81,430.07,1495440000,43287891563
7/11/18,434.52,447.32,429.51,446.52,1422470016,44934472499
7/10/18,476.16,478.32,433.96,434.42,1789069952,43707839327
7/9/18,488.88,490.85,475.17,476.68,1533799936,47950010843
7/8/18,492.07,503.2,488.42,489.12,1344560000,49191261748
7/7/18,474.06,491.66,466.84,491.66,1358360064,49436674027
7/6/18,474.36,479.65,457.61,474.01,1627609984,47652223006
7/5/18,467.29,483.23,464.63,474.41,1828610048,47682767002
7/4/18,464.15,481.44,455.18,467.32,1549769984,46960592849
7/3/18,475.39,483.85,462.58,464.2,1683939968,46637569584
7/2/18,453.82,479.13,447.11,475.35,1625789952,47748045305
7/1/18,455.24,457.14,446.39,453.92,1511730048,45586062575
6/30/18,436.21,458.8,436.21,455.18,1475939968,45703302057
6/29/18,422.59,441.79,407.95,436.01,1564499968,43769509934
6/28/18,442.29,443.62,419.68,422.36,1360790016,42390623225
6/27/18,432.24,444.24,424.84,442.36,1368940032,44388929160
6/26/18,460.73,461.21,432.77,432.77,1356560000,43417697599
6/25/18,455.94,470.34,448.9,460.31,4007950080,46171165113
6/24/18,474.77,475.36,426.47,457.67,2490579968,45896955639
6/23/18,466.27,479.13,462.39,474.52,1651379968,47577076103
6/22/18,527.19,527.19,456.88,465.82,2226030080,46695160358
6/21/18,536.45,543.72,524.26,527.37,1462070016,52854222121
6/20/18,538.51,541.02,519.37,536.27,1596290048,53735233277
6/19/18,519.02,542.35,516.31,537.96,1726569984,53893492102
6/18/18,499.38,521.8,494.07,518.89,1513869952,51972419008
6/17/18,499.46,507.64,498.65,500.45,1264870016,50115121568
6/16/18,490.41,503.22,488.85,499.64,1314109952,50023818460
6/15/18,520.48,521.3,487.47,491,1808269952,49148683691
6/14/18,478.38,523.54,467.47,519.74,2458650112,52014866507
6/13/18,498.02,501.9,459,477.49,2080130048,47776750554
6/12/18,532.71,538.96,491.23,496.84,1932760064,49702685049
6/11/18,524.86,536.86,515.27,533.28,1982119936,53337066224
6/10/18,594.34,594.34,511.89,526.48,2234880000,52645985456
6/9/18,600.91,608.58,597.56,597.56,1519309952,59741501683
