Date,Open,High,Low,Close,Volume,Market Cap
11/5/18,0.240807,0.246755,0.239831,0.246529,54187000,4734529558
11/4/18,0.235788,0.244596,0.234853,0.241638,57585400,4539255533
11/3/18,0.234098,0.239844,0.232162,0.235706,50502800,4539255533
11/2/18,0.223014,0.236297,0.223014,0.234244,50452100,4160972341
11/1/18,0.22436,0.24053,0.22251,0.222945,38696300,4160972341
10/31/18,0.226218,0.227941,0.217748,0.223471,42791700,4160972341
10/30/18,0.2222,0.226328,0.221782,0.225093,43111300,4350105142
10/29/18,0.231678,0.232719,0.221143,0.222357,45544800,4160850903
10/28/18,0.229188,0.23408,0.227392,0.232871,39381600,4345794419
10/27/18,0.233858,0.235208,0.2282,0.22876,38499600,4345794419
10/26/18,0.235332,0.236927,0.230687,0.234011,35741700,4345794419
10/25/18,0.237535,0.239069,0.233741,0.235646,39745700,4534742002
10/24/18,0.241749,0.244423,0.236891,0.23776,39973400,4534742002
10/23/18,0.242491,0.246983,0.239368,0.242215,39384600,4534742002
10/22/18,0.240374,0.244095,0.238244,0.242361,40765500,4534417629
10/21/18,0.243722,0.248253,0.23973,0.241724,46623600,4534417521
10/20/18,0.245219,0.249199,0.240961,0.244182,60012800,4534417641
10/19/18,0.238869,0.246234,0.234606,0.242853,45872300,4534417353
10/18/18,0.240969,0.245978,0.232275,0.239452,59461700,4533960693
10/17/18,0.229563,0.243272,0.227609,0.240403,74599800,4533879070
10/16/18,0.222475,0.229817,0.222002,0.227978,42468100,4344967373
10/15/18,0.209662,0.230353,0.20793,0.223001,71749600,4155936110
10/14/18,0.214765,0.219311,0.208793,0.210144,36498700,3967029883
10/13/18,0.215589,0.219563,0.214387,0.21481,46116600,3967029810
10/12/18,0.206477,0.218393,0.206083,0.216032,48988300,4155935793
10/11/18,0.240941,0.240941,0.206578,0.207037,75872400,3967029621
10/10/18,0.243664,0.245796,0.238212,0.241593,40184400,4533748030
10/9/18,0.249569,0.250283,0.242846,0.243915,40657100,4533425710
10/8/18,0.243991,0.254004,0.2412,0.249009,41913600,4722156793
10/7/18,0.242372,0.246788,0.237606,0.245138,33460000,4701706570
10/6/18,0.245137,0.247914,0.238837,0.239771,34392600,4513638307
10/5/18,0.2435,0.24762,0.240469,0.245192,38001100,4698706570
10/4/18,0.240654,0.248393,0.24002,0.244278,36170200,4510108235
10/3/18,0.247934,0.249178,0.237829,0.241136,47661800,4509716327
10/2/18,0.258257,0.259782,0.248286,0.248286,50886900,4697621299
10/1/18,0.259081,0.263545,0.253404,0.258404,67813900,4885389146
9/30/18,0.254448,0.262696,0.252677,0.259599,64864600,4885388522
9/29/18,0.252453,0.259334,0.245518,0.253908,54822100,4697488064
9/28/18,0.259997,0.262948,0.249273,0.254127,63003000,4697487939
9/27/18,0.243985,0.264678,0.243985,0.259216,99370800,4885386754
9/26/18,0.250619,0.257956,0.238515,0.244767,89889500,4509587581
9/25/18,0.258395,0.258395,0.233449,0.252306,118361000,4697486614
9/24/18,0.279833,0.282503,0.254954,0.259048,135616000,4885248683
9/23/18,0.239433,0.300275,0.238815,0.281478,317587000,5261036666
