Date,Search: RIPPLE Story Count
11/1/18,4
10/31/18,3
10/30/18,4
10/29/18,4
10/28/18,2
10/27/18,3
10/26/18,4
10/25/18,4
10/24/18,4
10/23/18,3
10/22/18,5
10/21/18,3
10/20/18,3
10/19/18,4
10/18/18,5
10/17/18,4
10/16/18,4
10/15/18,4
10/14/18,2
10/13/18,3
10/12/18,4
10/11/18,6
10/10/18,4
10/9/18,4
10/8/18,3
10/7/18,3
10/6/18,5
10/5/18,4
10/4/18,4
10/3/18,4
10/2/18,5
10/1/18,4
9/30/18,3
9/29/18,3
9/28/18,4
9/27/18,5
9/26/18,4
9/25/18,5
9/24/18,3
9/23/18,3
9/22/18,4
9/21/18,8
9/20/18,5
9/19/18,6
9/18/18,4
9/17/18,4
9/16/18,5
9/15/18,6
9/14/18,4
9/13/18,4
9/12/18,4
9/11/18,4
9/10/18,3
9/9/18,8
9/8/18,5
9/7/18,4
9/6/18,12
9/5/18,13
9/4/18,4
9/3/18,3
9/2/18,5
9/1/18,7
8/31/18,4
8/30/18,4
8/29/18,4
8/28/18,5
8/27/18,4
8/26/18,5
8/25/18,6
8/24/18,4
8/23/18,3
8/22/18,4
8/21/18,3
8/20/18,4
8/19/18,7
8/18/18,6
8/17/18,3
8/16/18,3
8/15/18,6
8/14/18,4
8/13/18,4
8/12/18,5
8/11/18,5
8/10/18,3
8/9/18,3
8/8/18,5
8/7/18,4
8/6/18,3
8/5/18,6
8/4/18,4
8/3/18,6
8/2/18,4
8/1/18,4
7/31/18,4
7/30/18,4
7/29/18,3
7/28/18,4
7/27/18,4
7/26/18,4
7/25/18,4
7/24/18,7
7/23/18,5
7/22/18,6
7/21/18,5
7/20/18,5
7/19/18,4
7/18/18,4
7/17/18,3
7/16/18,8
7/15/18,7
7/14/18,4
7/13/18,3
7/12/18,4
7/11/18,4
7/10/18,5
7/9/18,3
7/8/18,8
7/7/18,8
7/6/18,3
7/5/18,4
7/4/18,2
7/3/18,4
7/2/18,8
7/1/18,7
6/30/18,5
6/29/18,4
6/28/18,6
6/27/18,3
6/26/18,4
6/25/18,4
6/24/18,5
6/23/18,11
6/22/18,4
6/21/18,4
6/20/18,11
6/19/18,4
6/18/18,4
6/17/18,6
6/16/18,9
6/15/18,5
6/14/18,6
6/13/18,3
6/12/18,3
6/11/18,5
6/10/18,9
6/9/18,8
6/8/18,4
6/7/18,4
6/6/18,4
6/5/18,4
6/4/18,6
6/3/18,8
6/2/18,8
6/1/18,4
5/31/18,4
5/30/18,5
5/29/18,3
5/28/18,2
5/27/18,6
5/26/18,8
5/25/18,3
