Date,Search: TOPIC:BITCOIN Story Count
11/1/18,21
10/31/18,15
10/30/18,15
10/29/18,15
10/26/18,9
10/25/18,8
10/24/18,8
10/23/18,17
10/22/18,12
10/19/18,12
10/18/18,22
10/17/18,8
10/16/18,9
10/15/18,14
10/12/18,8
10/11/18,23
10/10/18,15
10/9/18,11
10/5/18,17
10/4/18,12
10/3/18,13
10/2/18,9
10/1/18,14
9/28/18,12
9/27/18,23
9/26/18,10
9/25/18,25
9/24/18,7
9/21/18,12
9/20/18,27
9/19/18,25
9/18/18,11
9/17/18,7
9/14/18,15
9/13/18,12
9/12/18,20
9/11/18,25
9/10/18,20
9/7/18,17
9/6/18,47
9/5/18,32
9/4/18,9
8/31/18,7
8/30/18,6
8/29/18,5
8/28/18,9
8/27/18,13
8/24/18,7
8/23/18,16
8/22/18,12
8/21/18,12
8/20/18,14
8/17/18,17
8/16/18,10
8/15/18,25
8/14/18,27
8/13/18,15
8/10/18,15
8/9/18,11
8/8/18,25
8/7/18,9
8/6/18,14
8/3/18,18
8/2/18,16
8/1/18,13
7/31/18,14
7/30/18,10
7/27/18,26
7/26/18,23
7/25/18,10
7/24/18,24
7/23/18,18
7/20/18,16
7/19/18,13
7/18/18,27
7/17/18,19
7/16/18,35
7/13/18,33
7/12/18,11
7/11/18,13
7/10/18,11
7/9/18,6
7/6/18,17
7/5/18,7
7/3/18,9
7/2/18,14
6/29/18,25
6/28/18,37
6/27/18,18
6/26/18,18
6/25/18,31
6/22/18,25
6/21/18,24
6/20/18,71
6/19/18,8
6/18/18,56
6/15/18,11
6/14/18,32
6/13/18,23
6/12/18,19
6/11/18,39
6/8/18,16
6/7/18,14
6/6/18,19
6/5/18,15
6/4/18,12
6/1/18,18
5/31/18,17
5/30/18,12
5/29/18,10
5/25/18,19
5/24/18,27
5/23/18,21
5/22/18,18
5/21/18,15
5/18/18,20
5/17/18,13
5/16/18,15
5/15/18,45
5/14/18,44
5/11/18,27
5/10/18,22
5/9/18,19
5/8/18,35
5/7/18,23
5/4/18,25
5/3/18,9
5/2/18,23
5/1/18,17
4/30/18,23
4/27/18,11
4/26/18,13
4/25/18,21
4/24/18,24
4/23/18,26
4/20/18,19
