"Date","Open","High","Low","Close","Volume","Market Cap"
"05-11-2018",111.98,112.89,109.5,111.34,14464400,1842495346
"04-11-2018",106.88,112.07,105.61,111.8,14673200,1849639813
"03-11-2018",105.77,107.39,104.89,106.87,10283100,1767794070
"02-11-2018",103.85,106.06,103.57,105.78,11916800,1717829905
"01-11-2018",104.04,105.56,102.81,103.88,10160300,1717803033
"31-10-2018",102.73,104.97,102.29,103.83,13314200,1716682801
"30-10-2018",101.45,102.74,101.04,102.55,15187300,1695263677
"29-10-2018",104.64,104.9,100.81,101.49,13488400,1677467227
"28-10-2018",104.14,106.58,102.12,104.98,19928900,1734870739
"27-10-2018",104.91,105.04,103.78,103.9,16064700,1716756671
"26-10-2018",106.22,106.66,104.78,105.02,14102000,1734978826
"25-10-2018",106.96,106.96,105.09,106.32,12371700,1756176716
"24-10-2018",108.08,109.09,106.56,106.95,11786500,1766289605
"23-10-2018",105.48,109.75,105.47,108.44,20239100,1790606440
"22-10-2018",105.0,106.05,104.05,105.46,15874800,1741135856
"21-10-2018",103.84,106.14,103.43,105.1,13189200,1734894272
"20-10-2018",103.76,104.72,103.36,103.78,14535300,1712027033
"19-10-2018",102.91,104.66,102.63,103.72,18523600,1711037231
"18-10-2018",105.54,106.62,102.08,102.91,23064100,1697674908
"17-10-2018",107.65,107.83,104.69,105.36,22030600,1738091812
"16-10-2018",107.2,108.33,105.92,107.39,19815100,1771327518
"15-10-2018",100.84,111.27,99.31,107.11,35911700,1766429367
"14-10-2018",102.15,103.35,100.81,100.91,13930300,1663911807
"13-10-2018",100.68,102.99,100.68,102.14,12537800,1683917815
"12-10-2018",100.07,103.64,99.68,100.71,14421900,1660076282
"11-10-2018",113.58,114.17,100.38,100.38,24185900,1654351193
"10-10-2018",113.59,113.67,111.03,113.46,164644000,1869605739
"09-10-2018",114.37,114.93,112.84,113.67,36076800,1872766336
"08-10-2018",113.57,116.27,112.72,114.28,107293000,1882514118
"07-10-2018",115.24,115.33,112.63,113.72,25004000,1872987309
"06-10-2018",114.92,115.3,113.41,115.07,22917000,1894916045
"05-10-2018",114.47,115.1,113.62,114.88,20766400,1891474368
"04-10-2018",114.74,116.26,113.45,114.53,25737300,1885377235
"03-10-2018",116.79,117.6,112.11,114.69,24600100,1887545904
"02-10-2018",114.4,119.82,112.81,116.83,31906300,1922628862
"01-10-2018",115.67,117.01,113.11,114.52,20659400,1884283475
"30-09-2018",114.89,116.72,114.08,116.26,26235500,1912622490
"29-09-2018",117.0,117.04,112.46,114.86,34176800,1889265710
"28-09-2018",119.35,121.55,115.9,117.06,35421800,1925125435
"27-09-2018",115.12,121.08,113.88,119.25,38769800,1960811195
"26-09-2018",116.45,117.58,113.2,115.59,29067600,1900313825
