"Date","Open","High","Low","Close","Volume","Market Cap"
"05-11-2018",53.59,54.71,53.11,53.55,398133000,3161551737
"04-11-2018",50.99,55.14,50.82,53.61,441533000,3164268695
"03-11-2018",51.3,51.36,50.76,50.97,325128000,3007684999
"02-11-2018",50.34,51.66,50.32,51.33,362726000,2992797511
"01-11-2018",49.56,51.03,49.42,50.27,321492000,2964981244
"31-10-2018",49.34,49.94,48.32,49.44,410734000,2915348345
"30-10-2018",49.0,49.48,48.79,49.24,295448000,2902845809
"29-10-2018",51.83,52.03,48.65,49.07,373076000,2892133138
"28-10-2018",52.05,52.17,51.48,51.94,335237000,3060525638
"27-10-2018",52.13,52.36,51.77,51.93,312308000,3059152253
"26-10-2018",52.22,52.48,51.73,52.1,292908000,3068410056
"25-10-2018",52.49,52.51,52.06,52.23,241117000,3075421317
"24-10-2018",52.46,53.01,52.29,52.52,291042000,3091177153
"23-10-2018",52.24,52.87,51.94,52.54,278025000,3092218152
"22-10-2018",52.78,53.11,52.01,52.2,263337000,3071449399
"21-10-2018",53.43,53.77,52.71,52.92,273510000,3113053493
"20-10-2018",53.07,53.46,52.8,53.36,258418000,3138189740
"19-10-2018",52.55,53.6,52.24,53.02,272130000,3117448847
"18-10-2018",53.72,53.99,52.13,52.53,296411000,3087961699
"17-10-2018",54.26,54.26,53.09,53.67,295022000,3154153795
"16-10-2018",54.97,55.48,53.67,54.07,281917000,3176915389
"15-10-2018",52.17,57.46,51.91,54.88,431765000,3223724015
"14-10-2018",53.51,53.84,52.03,52.19,242221000,3064932215
"13-10-2018",53.46,54.28,53.21,53.45,237333000,3138123090
"12-10-2018",50.87,53.82,50.87,53.55,280891000,3143248544
"11-10-2018",57.98,57.98,50.99,51.23,343098000,3006308409
"10-10-2018",58.66,58.66,57.43,57.98,358009000,3401583790
"09-10-2018",59.45,59.53,58.21,58.71,318545000,3443583803
"08-10-2018",58.23,59.82,57.48,59.41,347408000,3483811437
"07-10-2018",57.93,58.36,57.21,58.16,435270000,3409602497
"06-10-2018",58.88,58.92,57.27,57.84,375900000,3389983725
"05-10-2018",58.33,59.13,57.67,58.77,371790000,3443623867
"04-10-2018",57.52,59.05,57.44,58.28,343602000,3414076035
"03-10-2018",59.58,59.58,57.08,57.48,452464000,3366454274
"02-10-2018",60.3,61.25,59.41,59.71,444830000,3496275887
"01-10-2018",61.1,61.73,59.74,60.21,456583000,3524716106
"30-09-2018",61.63,62.39,60.15,61.14,463002000,3578253785
"29-09-2018",61.64,62.03,59.49,61.61,356028000,3604821254
"28-09-2018",63.17,64.42,60.81,61.9,459862000,3620945861
"27-09-2018",57.45,64.3,56.92,62.98,574277000,3683144535
"26-09-2018",57.45,59.62,56.7,57.4,294136000,3356014532
"25-09-2018",58.02,58.15,54.74,57.54,351579000,3363456228
"24-09-2018",61.34,61.34,57.3,57.97,296366000,3387764268
"23-09-2018",60.55,63.19,60.0,61.37,304888000,3585585597
"22-09-2018",60.81,61.71,57.74,60.44,298424000,3530326469
"21-09-2018",56.78,62.06,56.46,60.72,398550000,3545744784
"20-09-2018",54.37,57.15,53.64,56.63,260631000,3306052679
"19-09-2018",54.02,54.92,52.26,54.33,271642000,3170961286
"18-09-2018",52.29,55.1,51.0,54.1,296552000,3156853009
"17-09-2018",57.02,57.75,51.85,52.54,261325000,3065003983
"16-09-2018",56.58,57.37,55.06,56.97,253978000,3322636034
"15-09-2018",56.34,58.4,56.18,56.71,252020000,3306692406
"14-09-2018",54.65,58.44,53.32,56.58,336190000,3298293266
"13-09-2018",51.88,55.05,51.76,54.54,295074000,3178556094
"12-09-2018",52.39,52.41,47.67,51.66,290357000,3009954729
"11-09-2018",54.61,54.78,51.08,52.37,272379000,3050611549
"10-09-2018",54.99,56.07,53.5,54.6,251240000,3179710309
"09-09-2018",53.27,56.4,52.72,54.92,253320000,3197537276
"08-09-2018",56.13,57.61,52.58,53.24,223684000,3098976752
"07-09-2018",57.34,58.12,55.51,56.2,229626000,3270427073
"06-09-2018",58.32,58.32,54.91,57.49,351270000,3344713731
"05-09-2018",67.67,68.12,58.44,58.44,409226000,3399177358
"04-09-2018",65.32,68.98,65.23,67.71,308206000,3937329986
"03-09-2018",65.82,66.2,64.32,65.37,235034000,3800340762
"02-09-2018",65.98,66.9,64.33,65.65,265104000,3815637334
"01-09-2018",61.74,67.25,61.74,65.95,306586000,3832173387
"31-08-2018",60.42,62.25,59.32,61.93,265252000,3597647084
"30-08-2018",61.77,62.03,58.92,60.32,219094000,3503251617
"29-08-2018",63.03,63.39,60.74,61.77,220637000,3586591895
"28-08-2018",60.23,63.4,59.62,63.02,246764000,3658226222
"27-08-2018",57.26,60.42,56.93,60.25,228072000,3496604517
"26-08-2018",58.05,58.11,56.24,57.33,206572000,3326327003
"25-08-2018",57.92,58.21,57.37,57.91,187571000,3359185644
"24-08-2018",57.6,58.28,55.95,57.93,194676000,3359455111
"23-08-2018",55.19,57.81,54.39,57.54,205125000,3336011238
"22-08-2018",56.66,59.01,54.38,55.32,228893000,3206516188
"21-08-2018",53.77,56.8,53.77,56.35,187486000,3265399651
"20-08-2018",57.91,58.55,53.98,54.0,244192000,3128456129
"19-08-2018",57.22,58.74,56.54,57.94,204484000,3355828178
"18-08-2018",61.56,62.03,55.8,57.28,243057000,3316783135
"17-08-2018",55.33,61.51,55.19,61.51,263383000,3560752913
"16-08-2018",54.54,57.43,54.51,55.36,211779000,3204010295
"15-08-2018",54.68,58.95,54.3,54.5,282699000,3153490364
"14-08-2018",57.0,57.05,51.16,54.56,250440000,3156184616
"13-08-2018",59.48,60.6,56.31,56.85,223061000,3287857699
"12-08-2018",58.22,61.71,57.96,59.33,276383000,3430489287
"11-08-2018",59.49,59.8,55.67,58.36,259948000,3373672459
"10-08-2018",63.98,64.93,58.86,59.39,259781000,3432464770
"09-08-2018",62.47,65.58,61.3,63.98,270095000,3696884813
"08-08-2018",68.16,68.16,62.14,62.49,313187000,3609804029
"07-08-2018",74.0,75.23,68.13,68.17,299418000,3936910009
"06-08-2018",75.06,76.59,72.79,73.89,265134000,4266093240
"05-08-2018",73.38,75.0,72.69,74.59,265627000,4305404321
"04-08-2018",77.42,77.82,72.76,73.2,262765000,4224079715
"03-08-2018",76.3,77.57,74.47,77.54,298295000,4473405272
"02-08-2018",77.71,78.54,75.61,76.14,285466000,4391601553
"01-08-2018",80.39,80.73,76.4,77.86,301530000,4489678712
"31-07-2018",82.69,82.94,76.81,79.7,319362000,4594839059
"30-07-2018",84.15,84.71,80.6,82.85,313998000,4775339953
"29-07-2018",84.05,85.21,83.38,84.08,276696000,4845192571
"28-07-2018",84.54,84.63,82.83,83.62,279804992,4817457496
"27-07-2018",83.73,85.22,82.04,84.46,358798016,4864651661
